Last Price,Open Price,Max,Min,Size,Change Persent,Class
2151.85,1898.01,2162.29,1720.7,7.25,0.1338,XRP
2532.19,2166.98,2551.68,2108.74,7.54,0.1767,XRP
3158.0,2530.94,3169.74,2445.49,7.3,0.2471,XRP
3264.69,3158.3,3328.38,2899.24,7.31,0.0338,XRP
3223.96,3264.56,3334.22,2951.04,5.7,0.0125,XRP
3243.9,3224.17,3375.42,3057.48,5.48,0.0062,XRP
3884.97,3243.96,4024.89,3145.53,7.84,0.1976,XRP
3267.33,3885.4,3981.22,3061.3,8.18,0.159,XRP
3435.97,3267.33,3672.68,3118.66,5.35,0.0516,XRP
2922.55,3435.92,3455.67,2659.71,9.6,0.1494,XRP
3388.97,2922.47,3467.95,2740.12,7.07,0.1596,XRP
3574.2,3388.83,3668.35,3273.22,5.38,0.0547,XRP
3827.55,3574.52,3967.43,3381.43,4.74,0.0709,XRP
4168.85,3827.55,4366.91,3664.63,4.8,0.0892,XRP
4320.65,4168.8,4458.3,3896.33,4.93,0.0364,XRP
4517.36,4322.0,4661.88,4157.51,3.71,0.0455,XRP
4644.61,4517.27,4864.06,4498.78,3.86,0.0282,XRP
4408.85,4644.4,4769.38,3958.44,4.53,0.0508,XRP
4094.8,4409.02,4549.74,3917.43,5.03,0.0712,XRP
4123.46,4095.16,4778.14,3533.02,5.2,0.007,XRP
4075.66,4118.27,4482.89,3836.92,5.12,0.0116,XRP
3959.83,4078.17,4173.21,3649.69,4.52,0.0284,XRP
4093.14,3959.9,4149.17,3757.42,3.17,0.0337,XRP
3765.67,4093.38,4125.22,3589.64,2.74,0.08,XRP
3080.02,3765.67,3889.07,3001.76,4.24,0.1821,XRP
3327.74,3079.89,3407.98,2931.68,3.54,0.0804,XRP
2412.52,3326.5,3388.22,2311.8,4.86,0.275,XRP
2600.02,2412.52,2719.32,2161.55,6.08,0.0777,XRP
3013.81,2600.12,3058.88,2478.85,4.51,0.1591,XRP
2917.1,3013.75,3277.36,2858.85,3.93,0.0321,XRP
2763.81,2917.16,3193.18,2699.7,3.63,0.0525,XRP
2776.96,2763.97,2856.01,2303.07,6.53,0.0048,XRP
2665.42,2779.55,3041.84,2562.94,2.81,0.0402,XRP
2569.8,2665.42,2772.09,2447.74,9.41,0.0359,XRP
2949.92,2569.8,2984.0,2494.59,8.97,0.1479,XRP
3146.01,2950.03,3192.73,2819.27,4.08,0.0665,XRP
3442.34,3145.95,3529.63,3126.46,3.92,0.0942,XRP
3259.35,3442.34,3579.82,3143.96,4.36,0.0532,XRP
3058.96,3259.59,3306.14,2951.8,3.72,0.0615,XRP
2931.9,3058.96,3176.69,2887.25,3.67,0.0415,XRP
2727.18,2931.9,3032.7,2716.31,4.36,0.0698,XRP
2636.03,2727.2,2963.54,2589.29,4.88,0.0334,XRP
2056.3,2636.03,2641.84,1796.24,12.96,0.2199,XRP
1975.12,2056.33,2161.78,1903.67,5.27,0.0395,XRP
1792.68,1975.12,2086.21,1708.62,6.88,0.0924,XRP
1804.37,1792.25,2015.02,1740.83,6.55,0.0065,XRP
1531.42,1804.6,1919.4,1503.15,6.92,0.1513,XRP
995.61,1531.5,1542.01,883.35,17.72,0.3499,XRP
1241.76,995.49,1255.55,938.24,12.5,0.2472,XRP
1066.6,1241.8,1276.81,1000.77,10.28,0.1411,XRP
1216.94,1066.6,1275.69,1041.82,9.17,0.141,XRP
1356.08,1216.94,1399.16,1012.29,11.73,0.1143,XRP
1549.61,1356.0,1644.99,1323.23,12.01,0.1427,XRP
1695.97,1549.61,1781.39,1357.7,10.8,0.0945,XRP
